"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"1","Kajillionaire",2020,"Crime",6.6,"Miranda July",740,"
                        1h 44min
                    "
"2","Thor: Ragnarok",2017,"Action",7.9,"Taika Waititi",569546,"
                        2h 10min
                    "
"3","Motherless Brooklyn",2019,"Crime",6.8,"Edward Norton",36489,"
                        2h 24min
                    "
"4","Bombshell",2019,"Biography",6.8,"Jay Roach",74103,"
                        1h 49min
                    "
"5","Lost Girls and Love Hotels",2020,"Drama",4.4,"William Olsson",1536,"
                        1h 37min
                    "
"6","Project Power",2020,"Action",6,"Henry Joost",57105,"
                        1h 53min
                    "
"7","Bastille Day",2016,"Action",6.3,"James Watkins",36611,"
                        1h 32min
                    "
"8","The Peanut Butter Falcon",2019,"Comedy",7.6,"Tyler Nilson",56475,"
                        1h 37min
                    "
"9","The War with Grandpa",2020,"Comedy",5.5,"Tim Hill",4671,"
                        1h 34min
                    "
"10","#Saraitda",2020,"Drama",6.2,"Il Cho",17056,"
                        1h 38min
                    "
"11","Jumanji: The Next Level",2019,"Action",6.7,"Jake Kasdan",174123,"
                        2h 3min
                    "
"12","Little Women",2019,"Drama",7.8,"Greta Gerwig",126612,"
                        2h 15min
                    "
"13","12 Hour Shift",2020,"Horror",5.2,"Brea Grant",713,"
                        1h 26min
                    "
"14","Trolls World Tour",2020,"Animation",6.1,"Walt Dohrn",13335,"
                        1h 30min
                    "
"15","Star Wars: The Rise Of Skywalker",2019,"Action",6.6,"J.J. Abrams",352575,"
                        2h 21min
                    "
"16","El practicante",2020,"Drama",5.6,"Carles Torras",5637,"
                        1h 34min
                    "
"17","Deadpool",2016,"Action",8,"Tim Miller",886276,"
                        1h 48min
                    "
"18","Jurassic World: Fallen Kingdom",2018,"Action",6.2,"J.A. Bayona",258867,"
                        2h 8min
                    "
"19","Murder on the Orient Express",2017,"Crime",6.5,"Kenneth Branagh",206043,"
                        1h 54min
                    "
"20","Spider-Man: Into the Spider-Verse",2018,"Animation",8.4,"Bob Persichetti",342443,"
                        1h 57min
                    "
"21","Fantastic Beasts: The Crimes of Grindelwald",2018,"Adventure",6.6,"David Yates",212604,"
                        2h 14min
                    "
"22","Follow Me",2020,"Adventure",5.4,"Will Wernick",2551,"
                        1h 28min
                    "
"23","Mad Max: Fury Road",2015,"Action",8.1,"George Miller",861780,"
                        2h
                    "
