"","Index","Movie_names","Year","Advisory_rating","runtime","genre","Ratings","Description","Director","Cast","User_votes"
"1",1,"Enola Holmes",2020,"PG-13",123,"Adventure",6.6,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","Harry Bradbeer","Millie Bobby Brown",75468
"2",2,"The Devil All the Time",2020,"R",138,"Crime",7.1,"Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.","Antonio Campos","Donald Ray Pollock",56302
"3",3,"Tenet",2020,"PG-13",150,"Action",7.8,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","Christopher Nolan","John David Washington",130255
"4",4,"The Boys in the Band",2020,"R",121,"Drama",6.8,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.","Joe Mantello","Jim Parsons",5665
"5",5,"The Trial of the Chicago 7",2020,"R",129,"Drama",7.6,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.","Aaron Sorkin","Eddie Redmayne",979
"6",6,"After We Collided",2020,"R",105,"Drama",5.3,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.","Roger Kumble","Josephine Langford",5104
"7",7,"Secret Society of Second Born Royals",2020,"TV-PG",99,"Action",4.6,"It follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.","Anna Mastro","Peyton Elizabeth Lee",1782
"8",8,"Mulan",2020,"PG-13",115,"Action",5.4,"A young Chinese maiden disguises herself as a male warrior in order to save her father.","Niki Caro","Yifei Liu",61080
"9",9,"I'm Thinking of Ending Things",2020,"R",134,"Drama",6.7,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","Charlie Kaufman","Jesse Plemons",41548
"10",10,"The Gentlemen",2019,"R",113,"Action",7.9,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Guy Ritchie","Matthew McConaughey",191828
